Wrong result
[0.001074938487190535, 0.8561585131090088, 0.5167121490135688;
 0.9898497031773248, -0.07434312999266479, 0.1211225170752994;
 0.1421140725861139, 0.5113371680739289, -0.8475481643653791]
det(R): 1
[0.1247567063307057;
 0.05428332949386884;
 0.02662666013266235]

-50.582 -0.300676 -66.0617
-51.16 -0.31389 -66.1717
-51.8956 -0.323157 -66.2577 
-52.7495 -0.336248 -66.3147 
-53.6617 -0.346945 -66.336 
-54.5499 -0.354932 -66.3248 
-55.3654 -0.366844 -66.273 
-56.0473 -0.365256 -66.1946 
-56.5564 -0.368008 -66.0934 
-50.5707 -1.19748 -66.083  
-51.1548 -1.21537 -66.1937 
-51.8895 -1.23808 -66.2805 
-52.7461 -1.25234 -66.3387 
-53.6552 -1.26579 -66.3576 
-54.5468 -1.27498 -66.3469 
-55.3616 -1.27339 -66.2983 
-56.0461 -1.27321 -66.2185 
-56.5541 -1.25606 -66.1154 
-50.5681 -2.08092 -66.1052 
-51.1459 -2.11794 -66.2167 
-51.8885 -2.14191 -66.3061 
-52.7404 -2.16579 -66.3598 
-53.656 -2.17952 -66.3841  
-54.5417 -2.18384 -66.3703 
-56.5553 -2.15243 -66.1388 
-55.3592 -2.18455 -66.3198 
-56.0425 -2.16715 -66.2416 
-50.5679 -2.97796 -66.1298 
-51.144 -3.01494 -66.2377  
-51.8818 -3.0531 -66.327   
-52.7383 -3.07841 -66.3808 
-56.5496 -3.03568 -66.1595 
-53.6519 -3.09599 -66.4061 
-54.5419 -3.10284 -66.392  
-55.3553 -3.0904 -66.344   
-56.0418 -3.07324 -66.2642 
-50.5689 -3.86272 -66.1496 
-51.1446 -3.9204 -66.2613  
-51.8773 -3.96252 -66.3452 
-56.5509 -3.92992 -66.1812 
-52.7351 -3.99727 -66.4083 
-56.0396 -3.97 -66.289     
-53.65 -4.01299 -66.4293   
-54.5368 -4.01384 -66.4138 
-55.3569 -4.0043 -66.3662  
-50.5671 -4.75938 -66.1732 
-51.1434 -4.81927 -66.2826 
-51.8757 -4.87424 -66.3721 
-56.5494 -4.81594 -66.2059
-52.7317 -4.90831 -66.4293 
-56.0382 -4.87619 -66.3108 
-53.6459 -4.93022 -66.4528 
-54.5345 -4.93103 -66.4378 
-55.3513 -4.9074 -66.3898 
